"","Cold Cold Cold
IS 288 ORS,
January 27, 2017","January 2017
ORS 4 tagged spat,
January 27, 2017","Eels and Shrimp
IS 288 ORS,
March 21, 2017","Spring 2017 Trip 1
Williamsburg Prep ORS,
March 29, 2017","Early Spring
East Harlem,
April 3, 2017","PS 71 McMurray Hall East Trip #4
SUNY Maritime McMurray Hall East,
April 5, 2017","TYWLS Expedition 3 (6-1)
Astoria TYWLS ORS,
April 6, 2017","Bop 6
Rye Boat Basin,
April 6, 2017","TYWLS Expedition 4 (7-2)
Astoria TYWLS ORS,
April 20, 2017","Spring 2017 Trip 2
Williamsburg Prep ORS,
April 20, 2017","Expedition 2
Whole Foods Gowanus (MS51),
April 20, 2017","Sherman Creek 3
Sherman Creek South,
April 21, 2017","ORS TRIP 2 7A
IS 281 Joe Gulino,
April 24, 2017","Expedition 3
Whole Foods Gowanus (MS51),
April 27, 2017","April 29 2017
Pier A,
April 29, 2017"
"Weather conditions
(1=Sunny,2=Partly Cloudy,3=Cloudy,4=Rain,
5=Fog,6=Snow,7=Hail,8=Thunderstorm)",3,3,2,1,1,5,4,1,3,1,1,3,4,3,2
Wind direction,SW,SE,N,NW,S,N,W,SE,SE,NE,N,W,W,N,E
Wind speed (mph),17,12,5,11,3,3,16,1.9,2,7,4,52,15,9,7
Air temperature (C),46,5,48,60,15,9.4,8,13,15,24.7,17.8,45,56,15,21
Recent Rainfall,,,,,,,,,,,,,,,
"24 hrs rainfall
(1=Yes,0=No)",0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"72 hrs rainfall
(1=Yes,0=No)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7 days rainfall
(1=Yes,0=No)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tide conditions,,,,,,,,,,,,,,,
Reference Point (location name),brooklyn-battery,Bulkhead,coney island creek,williamsburg bridge,Bulk Head,throgs neck bridge,"Hell's Gate, Hallet's Cover",Dock,"Hell's Gate",Williamsburg Bridge Buoy,Gowanus Bay,harlem river,ROCK SHORE,Gowanus Bay,The Battery
